review_id,review_text
1,"	I love the design, but the phone heats up quickly."
2,"	The battery lasts very long, but the screen is dull."
3,Camera quality is excellent and very clear.
4,The sound is poor and the volume is too low.
5,The screen is bright and the touch response is smooth.
6,"Performance is great, but the phone drains battery fast."
7,"Speaker quality is bad, but I love the camera."
8,"It has a good display, but gets hot during charging."
9,Amazing battery life and fast performance.
10,"The phone is lightweight, but the build feels cheap."
